workplace_id,n_visits_5y,n_investigations_5y,days_since_last_visit,primary_naics,n_orders_5y,n_stop_work_5y,n_time_unknown_5y,pct_complied_5y,investigation_ratio,target_serious_2023
4708,4,4,1677,337110.0,0,0,0,,1.0,1
4761,47,33,51,212232.0,177,18,45,0.8983050847457628,0.7021276595744681,1
4765,23,14,32,313110.0,15,2,2,0.8666666666666667,0.6086956521739131,0
4766,1,1,851,313210.0,0,0,0,,1.0,0
4795,14,14,304,314990.0,4,0,0,1.0,1.0,0
4817,4,1,381,313110.0,8,0,0,1.0,0.25,0
4821,2,2,312,312310.0,3,0,0,1.0,1.0,1
4833,29,27,29,336110.0,16,0,0,1.0,0.9310344827586207,0
4838,6,6,177,314990.0,5,0,0,1.0,1.0,0
4862,18,17,341,326193.0,15,0,0,1.0,0.9444444444444444,0
4991,20,18,123,313310.0,7,1,1,0.8571428571428571,0.9,0
5285,3,3,753,332420.0,0,0,0,,1.0,0
5406,2,1,1381,314910.0,2,0,0,1.0,0.5,0
5518,16,16,129,323119.0,35,0,0,0.9428571428571428,1.0,0
5865,6,2,94,711111.0,7,0,0,1.0,0.3333333333333333,0
5891,7,6,774,321112.0,16,3,3,0.8125,0.8571428571428571,0
5923,50,41,23,113210.0,133,4,3,0.9699248120300752,0.82,0
5924,23,15,227,321111.0,36,4,4,0.8611111111111112,0.6521739130434783,0
5940,25,15,297,321111.0,48,4,6,0.9166666666666666,0.6,0
5952,5,3,220,321215.0,14,2,1,0.8571428571428571,0.6,0
5989,14,7,437,321112.0,49,4,4,0.9183673469387755,0.5,0
5992,3,3,544,321111.0,9,0,0,1.0,1.0,0
5995,10,3,108,321111.0,63,5,5,0.9206349206349206,0.3,1
6038,1,0,665,444130.0,0,0,0,,0.0,0
6039,7,6,716,321111.0,2,0,0,1.0,0.8571428571428571,0
6050,1,0,1227,321112.0,25,0,0,1.0,0.0,0
6127,4,3,680,321111.0,21,2,2,0.9047619047619048,0.75,0
6156,1,1,1822,321112.0,0,0,0,,1.0,1
6245,1,1,1039,321212.0,1,0,0,1.0,1.0,1
6269,13,13,529,321999.0,41,4,9,0.9024390243902439,1.0,0
6304,2,0,2011,321215.0,4,0,0,1.0,0.0,0
6356,5,5,110,321992.0,0,0,0,,1.0,0
6375,3,3,359,321992.0,4,0,0,1.0,1.0,0
6400,2,2,2138,321992.0,0,0,0,,1.0,1
6404,6,4,110,321992.0,12,0,0,1.0,0.6666666666666666,0
6429,5,5,296,321992.0,11,0,0,1.0,1.0,0
6438,20,16,983,321992.0,32,4,4,0.875,0.8,0
6443,1,0,145,623993.0,0,0,0,,0.0,0
6466,1,1,31,321992.0,3,0,0,1.0,1.0,0
6473,5,0,401,321999.0,8,0,0,1.0,0.0,0
6497,3,0,682,444130.0,0,0,0,,0.0,0
6516,8,8,108,321992.0,0,0,0,,1.0,0
6552,3,3,632,337110.0,4,0,0,1.0,1.0,0
6554,7,6,407,493190.0,1,0,0,1.0,0.8571428571428571,0
6580,6,4,45,321992.0,6,0,0,1.0,0.6666666666666666,0
6633,2,1,2073,321992.0,7,0,0,1.0,0.5,0
6689,3,1,1157,321992.0,2,0,0,1.0,0.3333333333333333,0
6883,4,3,710,321919.0,5,0,0,1.0,0.75,0
6918,11,8,218,813990.0,2,0,0,1.0,0.7272727272727273,0
6931,1,1,22,321920.0,0,0,0,,1.0,0
6932,3,3,1073,321920.0,6,0,0,1.0,1.0,0
7038,1,0,1584,321919.0,6,0,0,1.0,0.0,0
7081,7,7,577,321114.0,2,0,0,1.0,1.0,0
7180,25,17,225,321216.0,53,8,9,0.8490566037735849,0.68,0
7210,3,3,178,416320.0,1,0,0,1.0,1.0,0
7225,2,1,306,624310.0,0,0,0,,0.5,0
7560,2,1,1474,337123.0,0,0,0,,0.5,0
7741,1,0,817,311520.0,6,0,0,1.0,0.0,0
7754,4,1,225,332999.0,28,10,10,0.6428571428571429,0.25,0
7847,4,4,285,326198.0,23,0,0,1.0,1.0,0
7857,1,0,403,238350.0,0,0,0,,0.0,0
7947,3,0,795,811420.0,11,1,2,0.9090909090909091,0.0,1
8135,3,1,1230,337123.0,5,0,0,1.0,0.3333333333333333,0
8137,2,2,831,337123.0,3,0,0,1.0,1.0,0
8159,11,10,31,337123.0,15,6,9,0.6,0.9090909090909091,0
8237,26,24,325,337123.0,21,1,1,0.9523809523809523,0.9230769230769231,0
8275,4,1,1479,448130.0,14,0,0,1.0,0.25,0
8465,9,6,304,337123.0,4,0,0,1.0,0.6666666666666666,0
8466,12,7,123,337213.0,15,1,1,0.9333333333333333,0.5833333333333334,0
8517,14,7,170,337213.0,43,7,7,0.8372093023255814,0.5,1
8520,9,9,149,337214.0,3,1,1,0.6666666666666666,1.0,0
8550,9,6,607,337214.0,10,0,0,0.9,0.6666666666666666,0
8552,1,1,827,323116.0,2,0,0,1.0,1.0,1
8554,6,0,212,337110.0,11,1,1,0.9090909090909091,0.0,0
8620,1,0,1838,441220.0,2,0,0,1.0,0.0,1
8734,1,1,149,332720.0,0,0,0,,1.0,0
8791,2,0,281,311340.0,9,0,0,1.0,0.0,1
8813,5,5,452,337123.0,2,0,0,1.0,1.0,0
8885,36,19,44,322122.0,37,2,2,0.9459459459459459,0.5277777777777778,0
8888,34,13,296,322130.0,23,1,1,0.9565217391304348,0.38235294117647056,0
8894,10,10,281,322112.0,8,0,0,1.0,1.0,0
8898,42,23,32,322122.0,154,22,24,0.8571428571428571,0.5476190476190477,0
8900,60,38,89,322121.0,150,7,7,0.9533333333333334,0.6333333333333333,1
8925,3,3,1191,321216.0,2,0,0,1.0,1.0,0
8938,5,1,138,324122.0,0,0,0,,0.2,0
8939,4,4,39,339990.0,7,0,0,1.0,1.0,0
8941,7,7,747,324122.0,5,0,0,1.0,1.0,0
8948,8,8,39,322211.0,11,0,0,1.0,1.0,0
8966,12,12,295,444110.0,5,1,1,0.6,1.0,0
8986,2,0,381,322220.0,3,0,0,1.0,0.0,0
8990,11,5,383,322220.0,139,69,69,0.5035971223021583,0.45454545454545453,1
8995,2,0,1058,326111.0,14,0,0,1.0,0.0,0
9012,5,1,981,322211.0,3,0,0,1.0,0.2,0
9029,2,2,291,322211.0,0,0,0,,1.0,0
9030,3,2,1032,322211.0,2,0,0,1.0,0.6666666666666666,0
9036,6,2,1124,322220.0,19,1,1,0.9473684210526315,0.3333333333333333,0
9149,9,8,28,335990.0,2,0,0,1.0,0.8888888888888888,0
9158,15,9,843,322211.0,17,2,2,0.8823529411764706,0.6,0
9205,3,2,123,322220.0,1,0,0,1.0,0.6666666666666666,0
9206,14,13,10,327910.0,8,1,1,0.875,0.9285714285714286,1
9207,4,4,303,325510.0,6,0,0,1.0,1.0,0
9212,5,2,162,322219.0,3,0,0,1.0,0.4,0
9223,5,3,626,323119.0,9,0,0,1.0,0.6,0
9234,11,6,690,337110.0,37,2,2,0.9459459459459459,0.5454545454545454,1
9254,3,1,79,323119.0,3,0,0,1.0,0.3333333333333333,0
9268,4,0,109,417990.0,6,0,0,1.0,0.0,0
9277,18,15,31,311990.0,6,1,1,0.8333333333333334,0.8333333333333334,0
9288,2,2,39,333246.0,15,0,0,1.0,1.0,1
9301,18,13,46,322121.0,21,1,1,0.9523809523809523,0.7222222222222222,0
9325,7,7,12,326193.0,4,0,0,1.0,1.0,0
9334,8,7,3,326193.0,4,0,0,1.0,0.875,0
9335,12,8,193,322121.0,5,1,1,0.8,0.6666666666666666,0
9336,6,4,102,322121.0,1,0,0,1.0,0.6666666666666666,0
9342,1,1,529,322122.0,0,0,0,,1.0,0
9357,11,11,107,624310.0,6,0,0,1.0,1.0,0
9389,8,6,9,322299.0,17,0,0,1.0,0.75,0
9396,3,2,366,327990.0,14,0,0,1.0,0.6666666666666666,0
9557,1,0,1782,334410.0,0,0,0,,0.0,0
9714,1,0,416,323115.0,9,0,0,1.0,0.0,0
9718,2,1,1668,326111.0,1,0,0,1.0,0.5,0
9799,2,1,208,415210.0,2,0,0,1.0,0.5,0
9838,10,9,320,561910.0,23,0,0,1.0,0.9,0
9949,2,1,576,322299.0,12,0,0,1.0,0.5,0
10116,10,7,1082,326111.0,11,1,1,0.8181818181818182,0.7,0
10240,13,6,269,322220.0,24,5,5,0.7916666666666666,0.46153846153846156,0
10343,23,18,30,339990.0,27,1,1,0.9629629629629629,0.782608695652174,1
10612,2,0,32,323113.0,7,0,0,1.0,0.0,0
10673,1,1,144,323119.0,0,0,0,,1.0,0
10948,4,3,387,323119.0,2,1,1,0.5,0.75,0
11067,65,47,11,212220.0,198,22,23,0.8686868686868687,0.7230769230769231,1
11071,42,42,325,331222.0,46,0,0,1.0,1.0,0
11083,55,43,25,331110.0,85,0,0,0.9882352941176471,0.7818181818181819,0
11090,62,55,70,331514.0,83,1,0,0.9879518072289156,0.8870967741935484,1
11095,168,162,17,331514.0,91,5,5,0.945054945054945,0.9642857142857143,0
11103,18,16,18,331110.0,6,0,2,0.3333333333333333,0.8888888888888888,0
11104,41,38,18,331110.0,15,1,1,0.9333333333333333,0.926829268292683,0
11107,46,40,17,331110.0,20,0,0,1.0,0.8695652173913043,0
11108,48,46,18,331110.0,24,3,3,0.875,0.9583333333333334,0
11111,30,27,37,331514.0,20,1,1,0.95,0.9,0
11112,28,23,268,331110.0,16,0,0,0.9375,0.8214285714285714,0
11123,10,8,10,331110.0,8,0,0,1.0,0.8,0
11132,47,24,37,326122.0,45,4,4,0.9111111111111111,0.5106382978723404,1
11141,5,5,353,331514.0,11,0,0,1.0,1.0,0
11142,5,4,275,332999.0,9,1,1,0.8888888888888888,0.8,0
11146,36,31,75,331514.0,26,7,7,0.7307692307692307,0.8611111111111112,1
11147,2,0,26,331110.0,0,0,0,,0.0,0
11153,13,9,863,331514.0,4,0,0,1.0,0.6923076923076923,0
11154,49,47,72,331110.0,15,0,0,1.0,0.9591836734693877,0
11156,4,3,25,331110.0,5,0,0,1.0,0.75,0
11200,1,1,1485,332319.0,3,0,0,1.0,1.0,0
11205,7,7,17,331210.0,5,0,0,1.0,1.0,0
11210,8,6,912,331210.0,0,0,0,,0.75,0
11222,9,9,198,331210.0,11,2,2,0.8181818181818182,1.0,0
11224,2,0,1277,331210.0,0,0,0,,0.0,0
11236,4,4,969,331210.0,0,0,0,,1.0,1
11243,8,8,262,331511.0,11,1,1,0.9090909090909091,1.0,0
11280,6,6,795,331514.0,16,0,0,1.0,1.0,0
11301,11,8,10,331410.0,4,0,0,1.0,0.7272727272727273,0
11340,12,9,325,331523.0,25,0,0,1.0,0.75,0
11359,7,5,989,331110.0,30,3,3,0.9,0.7142857142857143,1
11367,21,21,30,331317.0,11,0,0,1.0,1.0,0
11382,16,15,18,331317.0,12,3,5,0.75,0.9375,0
11397,18,13,39,331420.0,31,2,1,0.9354838709677419,0.7222222222222222,0
11398,7,6,295,331523.0,9,0,0,1.0,0.8571428571428571,0
11409,8,4,320,331420.0,11,0,0,1.0,0.5,0
11435,16,15,360,332113.0,35,0,0,1.0,0.9375,0
11452,12,11,459,331529.0,5,0,0,1.0,0.9166666666666666,0
11460,3,3,515,326130.0,13,0,0,1.0,1.0,1
11470,5,5,30,332710.0,9,1,1,0.8888888888888888,1.0,0
11508,12,12,338,332319.0,0,0,0,,1.0,0
11516,4,4,45,332420.0,2,0,0,1.0,1.0,0
11543,4,4,397,332319.0,18,0,0,1.0,1.0,0
11580,1,1,355,332420.0,2,0,0,1.0,1.0,1
11605,5,4,765,238120.0,5,0,0,1.0,0.8,0
11607,2,1,437,332420.0,1,0,0,1.0,0.5,0
11643,11,11,40,238220.0,6,0,0,1.0,1.0,0
11690,3,0,171,332420.0,8,0,0,1.0,0.0,0
11765,26,24,53,332311.0,12,3,3,0.75,0.9230769230769231,0
11775,7,6,1211,332420.0,11,0,0,1.0,0.8571428571428571,0
11787,3,3,1543,811111.0,4,0,0,1.0,1.0,0
11867,4,0,296,332710.0,7,0,0,1.0,0.0,0
11909,7,7,29,332420.0,0,0,0,,1.0,0
11930,1,0,627,417210.0,0,0,0,,0.0,0
11944,3,3,1073,333120.0,5,0,0,1.0,1.0,0
11957,10,10,291,332321.0,5,0,0,1.0,1.0,0
12152,5,5,2111,332319.0,3,0,0,1.0,1.0,0
12192,5,0,927,332319.0,2,0,0,1.0,0.0,0
12230,8,7,1153,332321.0,5,0,0,1.0,0.875,0
12285,1,1,1037,332321.0,2,0,0,1.0,1.0,0
12308,2,1,691,332321.0,2,0,0,1.0,0.5,0
12345,3,0,16,811121.0,13,0,0,1.0,0.0,0
12349,1,1,397,332321.0,0,0,0,,1.0,0
12375,2,2,170,332510.0,33,1,6,0.9696969696969697,1.0,0
12377,6,0,172,332321.0,6,0,0,1.0,0.0,0
12399,9,8,87,332321.0,5,0,0,1.0,0.8888888888888888,0
12451,5,4,1535,332321.0,18,0,0,1.0,0.8,0
12467,7,7,423,332113.0,1,0,0,1.0,1.0,0
12468,4,1,53,332999.0,2,0,0,1.0,0.25,0
12477,7,7,437,332510.0,0,0,0,,1.0,0
12508,14,14,345,332118.0,9,0,0,1.0,1.0,0
12569,10,5,194,493110.0,20,0,0,1.0,0.5,0
12570,7,6,292,332999.0,2,0,0,1.0,0.8571428571428571,0
12599,11,11,131,332999.0,6,1,1,0.8333333333333334,1.0,0
12606,3,3,680,332118.0,3,0,0,1.0,1.0,0
12607,7,7,197,332810.0,1,0,0,1.0,1.0,0
12616,5,5,570,332999.0,6,1,1,0.8333333333333334,1.0,0
12715,6,5,374,332439.0,4,0,0,1.0,0.8333333333333334,0
12735,4,2,633,332510.0,10,0,0,1.0,0.5,0
12772,20,14,284,332710.0,62,4,5,0.9354838709677419,0.7,0
12780,10,7,94,339990.0,10,0,0,1.0,0.7,0
12798,15,15,380,493190.0,1,0,0,1.0,1.0,0
12804,1,1,674,323119.0,3,0,0,1.0,1.0,0
12816,12,12,1480,413150.0,5,0,0,1.0,1.0,0
12845,5,3,582,332431.0,4,0,0,1.0,0.6,0
12848,44,43,16,336350.0,26,1,2,0.8846153846153846,0.9772727272727273,0
12861,50,48,242,332810.0,12,1,1,0.9166666666666666,0.96,0
12883,5,1,351,339990.0,16,0,0,1.0,0.2,0
12956,10,10,317,332810.0,17,0,0,1.0,1.0,0
12963,21,8,514,332810.0,3,0,0,1.0,0.38095238095238093,0
12967,1,0,1797,332810.0,0,0,0,,0.0,0
12971,2,1,64,484110.0,7,0,0,1.0,0.5,0
12976,11,11,45,332810.0,4,1,1,0.75,1.0,0
12978,21,21,198,332999.0,4,0,0,1.0,1.0,0
12986,5,5,187,326198.0,3,0,0,1.0,1.0,0
13104,2,1,976,332319.0,1,0,0,1.0,0.5,0
13112,20,19,85,336360.0,1,0,0,1.0,0.95,0
13117,9,9,393,339110.0,8,0,0,1.0,1.0,1
13126,4,2,303,332118.0,4,0,0,1.0,0.5,0
13139,25,19,298,332118.0,39,1,1,0.9743589743589743,0.76,0
13207,16,16,89,332810.0,6,0,0,1.0,1.0,0
13208,7,7,162,331210.0,4,0,0,1.0,1.0,0
13220,8,8,715,332118.0,12,0,0,1.0,1.0,0
13231,34,34,15,322211.0,5,0,0,1.0,1.0,0
13242,54,52,29,331110.0,12,1,1,0.9166666666666666,0.9629629629629629,0
13244,4,1,319,313310.0,12,0,0,1.0,0.25,0
13282,8,8,26,332810.0,6,0,0,1.0,1.0,0
13314,19,19,94,332810.0,14,0,0,1.0,1.0,0
13431,8,6,326,336340.0,3,0,0,1.0,0.75,0
13478,11,11,312,336990.0,0,0,0,,1.0,0
13490,5,4,158,339990.0,0,0,0,,0.8,0
13521,7,5,1024,332619.0,17,0,1,0.8823529411764706,0.7142857142857143,0
13656,7,6,577,332720.0,2,1,1,0.5,0.8571428571428571,0
13705,6,6,40,332999.0,2,0,0,1.0,1.0,0
13714,1,1,652,332619.0,0,0,0,,1.0,0
13732,9,9,241,332619.0,35,0,0,1.0,1.0,0
13738,5,5,334,333511.0,4,0,0,1.0,1.0,0
13806,10,10,296,332210.0,0,0,0,,1.0,0
13813,1,0,1788,332118.0,1,0,0,1.0,0.0,0
13846,5,4,268,326198.0,5,0,0,1.0,0.8,0
13864,2,2,1447,332710.0,7,2,2,0.7142857142857143,1.0,0
13865,4,3,600,332210.0,0,0,0,,0.75,0
13893,5,5,45,332210.0,0,0,0,,1.0,0
13928,5,5,306,332210.0,18,2,2,0.8888888888888888,1.0,1
13932,2,2,1440,444110.0,4,0,0,1.0,1.0,1
13944,1,1,575,332710.0,2,0,0,1.0,1.0,0
13972,2,2,785,332210.0,2,0,0,1.0,1.0,0
13977,3,3,852,336390.0,0,0,0,,1.0,0
14013,1,1,655,332210.0,0,0,0,,1.0,0
14057,6,5,340,332210.0,1,0,0,1.0,0.8333333333333334,0
14134,3,3,425,332710.0,5,0,0,1.0,1.0,0
14198,1,1,1712,332210.0,3,0,0,1.0,1.0,0
14223,6,2,320,332999.0,10,0,0,1.0,0.3333333333333333,0
14252,8,7,583,332210.0,5,1,1,0.8,0.875,0
14285,1,1,935,332210.0,0,0,0,,1.0,0
14334,8,8,619,333511.0,39,0,0,1.0,1.0,1
14395,2,1,583,332210.0,0,0,0,,0.5,0
14464,5,5,1550,333248.0,2,0,0,1.0,1.0,1
14505,1,0,1121,333920.0,13,0,0,1.0,0.0,0
14522,20,19,187,332710.0,24,4,4,0.8333333333333334,0.95,1
14567,2,0,1786,332710.0,6,0,0,1.0,0.0,0
14576,4,0,100,332999.0,6,2,2,0.6666666666666666,0.0,1
14592,2,2,947,332710.0,3,1,1,0.6666666666666666,1.0,0
14933,5,2,583,332710.0,7,0,0,1.0,0.4,0
14975,5,3,1166,332710.0,5,0,0,1.0,0.6,0
14989,2,0,38,236110.0,10,0,0,1.0,0.0,0
14992,3,3,215,332710.0,1,0,0,1.0,1.0,1
14993,12,11,178,333248.0,3,0,0,1.0,0.9166666666666666,0
14999,2,0,1040,332710.0,8,0,0,1.0,0.0,1
15032,2,2,624,332999.0,8,2,2,0.75,1.0,0
15057,1,1,488,332720.0,2,0,0,1.0,1.0,0
15123,4,4,1682,336310.0,0,0,0,,1.0,0
15229,3,2,532,336330.0,0,0,0,,0.6666666666666666,0
15337,3,3,1086,561310.0,3,0,0,1.0,1.0,0
15399,7,7,52,332710.0,10,0,0,1.0,1.0,0
15408,6,1,360,333619.0,28,7,7,0.75,0.16666666666666666,0
15494,2,0,582,332910.0,2,0,0,1.0,0.0,0
15499,16,15,101,332118.0,12,0,0,1.0,0.9375,0
15523,1,1,327,332910.0,0,0,0,,1.0,0
15536,23,23,87,332810.0,10,0,0,1.0,1.0,1
15542,4,3,711,332329.0,4,0,0,1.0,0.75,0
15595,19,14,149,332910.0,41,0,0,1.0,0.7368421052631579,0
15601,7,7,1045,332810.0,7,0,0,1.0,1.0,0
15617,5,2,18,332710.0,1,0,0,1.0,0.4,0
15618,7,3,197,332910.0,3,0,0,1.0,0.42857142857142855,0
15673,1,1,667,561910.0,0,0,0,,1.0,0
15678,10,7,138,418120.0,19,5,9,0.7368421052631579,0.7,0
15682,11,11,24,332910.0,2,0,0,1.0,1.0,0
15704,13,6,137,332510.0,10,0,0,1.0,0.46153846153846156,0
15705,6,5,358,332113.0,1,0,0,1.0,0.8333333333333334,0
15726,1,0,1278,332999.0,2,0,0,1.0,0.0,1
15729,3,3,121,332999.0,0,0,0,,1.0,0
15740,1,1,1572,493110.0,0,0,0,,1.0,0
15751,2,2,2,493110.0,5,0,0,1.0,1.0,1
15758,12,9,529,332910.0,86,34,34,0.6046511627906976,0.75,0
15782,5,3,463,332910.0,0,0,0,,0.6,0
15793,3,3,584,332999.0,0,0,0,,1.0,0
15810,2,2,353,332710.0,0,0,0,,1.0,0
15824,4,4,1552,332710.0,5,0,0,1.0,1.0,0
15834,8,3,79,332619.0,15,0,0,1.0,0.375,0
16052,1,0,1629,336990.0,0,0,0,,0.0,0
16081,4,0,1183,332420.0,1,0,0,1.0,0.0,1
16123,3,2,1839,335311.0,0,0,0,,0.6666666666666666,0
16154,10,10,334,333248.0,15,0,0,1.0,1.0,0
16185,3,3,1577,332420.0,2,0,0,1.0,1.0,0
16194,4,4,57,333910.0,3,0,0,1.0,1.0,0
16199,3,2,823,332710.0,3,0,0,1.0,0.6666666666666666,0
16210,8,4,325,333619.0,23,2,2,0.9130434782608695,0.5,0
16211,6,6,890,418990.0,4,0,0,1.0,1.0,0
16222,6,4,176,332319.0,6,0,0,1.0,0.6666666666666666,0
16231,1,1,1264,721111.0,6,0,0,1.0,1.0,0
16285,2,0,225,332710.0,8,0,0,1.0,0.0,0
16292,11,11,156,332113.0,5,1,1,0.8,1.0,0
16302,5,1,1055,332710.0,22,0,0,1.0,0.2,0
